"","run_id","region","rc","rd","ld","hd","lc","hc","foii","wh1","wh2","wh3","wh4","wl1","wl2","wl3","wl4","dd1","dd2","dr1","dr2","bd1","bd2","bd3","bd4","bd5","bd6","bd7","br","wv1","wv2","wv3","wv4","cfr1","cfr2","cfr3","cfr4","cfr5","cfr6","ve"
"1",1,"hyper",0.205966382,0.743966588,0.889351751,0.990894657,0.154834545,0.878733702,8.32e-07,0.005412768,0.004989548,0.009658535,0.001697751,0.00315496,0.000725632,0.000648779,0.000153866,0.001859243,-1.01e-07,0.001920373,-1.09e-07,0.03505206,0.030583887,0.124234639,0.135612963,0.116550433,0.176607411,0.268573931,0.388547613,0,0.001322422,0.001322422,0.001322422,0.135,0.0909090909090909,0.0881818181818182,0.0863636363636364,0.0872727272727273,0.125757575757576,0.896
"2",2,"hyper",0.218308905,0.764587484,0.923229298,0.910642212,0.193814793,0.842287509,7.97e-07,0.008680342,0.005302169,0.008838709,0.001717933,0.002893961,0.000752375,0.000559318,0.000497624,0.001904054,-9.97e-08,0.001942046,-1.06e-07,0.037453802,0.092143631,0.099788329,0.141235748,0.077504554,0.115559389,0.23090314,0.436291294,0,0.001322422,0.001322422,0.001322422,0.13,0.0886363636363636,0.0790909090909091,0.0909090909090909,0.0909090909090909,0.115,0.874
"3",3,"hyper",0.209157791,0.760725072,0.843385049,0.983636023,0.250946496,0.807886148,7.45e-07,0.013896456,0.004658836,0.007896878,0.000798475,0.002575028,0.000734311,0.000590923,0.000191888,0.001946354,-1.08e-07,0.001912768,-1.01e-07,0.037860908,0.086986635,0.145284742,0.14615636,0.088463634,0.199467897,0.251293544,0.364360844,0,0.001322422,0.001322422,0.001322422,0.105,0.0988636363636364,0.0972727272727273,0.0972727272727273,0.0690909090909091,0.125757575757576,0.884
"4",4,"hyper",0.194174925,0.671855106,0.948837265,0.985059661,0.151285381,0.853519613,6.28e-07,0.00541255,0.004433034,0.006090973,0.001812228,0.003589474,0.000698541,0.00076871,0.00047914,0.001932225,-1.08e-07,0.001903349,-9.46e-08,0.030179493,0.070601986,0.118296571,0.08459468,0.082366558,0.17101613,0.258676013,0.361875865,0,0.001322422,0.001322422,0.001322422,0.125,0.0965909090909091,0.0981818181818182,0.0736363636363636,0.0854545454545454,0.118787878787879,0.89
"5",5,"hyper",0.203289361,0.748748568,0.919684739,0.908073314,0.251609021,0.894961679,8.22e-07,0.017780151,0.009908962,0.006268846,0.001896528,0.002689114,0.000950335,0.000930308,0.000399753,0.001901992,-9.26e-08,0.001873558,-1.01e-07,0.035852911,0.081429504,0.09699469,0.115034386,0.132938229,0.173412222,0.234831335,0.352956051,0,0.001322422,0.001322422,0.001322422,0.08,0.0920454545454545,0.0918181818181818,0.09,0.0918181818181818,0.119393939393939,0.916
"6",6,"hyper",0.210443182,0.690733802,0.920936385,0.999996457,0.168823237,0.836733485,2.02e-07,0.009689787,0.002812602,0.008512455,0.001511031,0.003635118,0.000691455,0.000692142,0.000415694,0.001886763,-1.04e-07,0.001930783,-1.01e-07,0.037931669,0.044790629,0.134794389,0.127819773,0.135148918,0.119405413,0.261115461,0.437572157,0,0.001322422,0.001322422,0.001322422,0.08,0.0875,0.0854545454545454,0.0890909090909091,0.0836363636363636,0.125454545454545,0.886
"7",7,"hyper",0.203389459,0.712179346,0.949609465,0.998445004,0.235863069,0.887724125,9.36e-07,0.018210931,0.004256476,0.008766511,0.001464243,0.00348022,0.000897124,0.000586299,0.000437217,0.001937294,-1.08e-07,0.001949528,-1.02e-07,0.036656317,0.074320254,0.108434978,0.125992411,0.120091532,0.165124092,0.183452684,0.399644883,0,0.001322422,0.001322422,0.001322422,0.135,0.110227272727273,0.09,0.08,0.0790909090909091,0.118939393939394,0.898
"8",8,"hyper",0.208815672,0.768525672,0.687236432,0.904886531,0.191025398,0.837524969,1.05e-07,0.009087342,0.007806827,0.002714283,0.001885309,0.003624694,0.000942526,0.000875419,0.000354816,0.001906417,-9.52e-08,0.001854581,-1.03e-07,0.031719671,0.094440072,0.137082037,0.104416573,0.069385433,0.178474036,0.263978791,0.383309224,0,0.001322422,0.001322422,0.001322422,0.065,0.0943181818181818,0.0872727272727273,0.0954545454545455,0.08,0.122272727272727,0.902
"9",9,"hyper",0.205045705,0.727108978,0.89636362,0.997538751,0.153684612,0.785743875,9.78e-07,0.010800015,0.004505826,0.005822141,0.000986606,0.002450214,0.000867791,0.000694328,0.000578419,0.001864195,-9.93e-08,0.001948475,-9.14e-08,0.031800422,0.085587362,0.145683634,0.144300809,0.066316251,0.163824223,0.157390874,0.402374838,0,0.001322422,0.001322422,0.001322422,0.09,0.0909090909090909,0.0990909090909091,0.0909090909090909,0.0863636363636364,0.122727272727273,0.92
"10",10,"hyper",0.214730604,0.74979963,0.772146697,0.954195123,0.199461588,0.837281146,6.06e-07,0.005426562,0.002983665,0.002712733,0.001696886,0.00202709,0.00067802,0.000719063,0.000421223,0.001949399,-1.01e-07,0.001903438,-9.4e-08,0.035955876,0.049820413,0.148982089,0.139235563,0.09721248,0.123126093,0.252405735,0.408746028,0,0.001322422,0.001322422,0.001322422,0.12,0.0727272727272727,0.09,0.0754545454545455,0.0645454545454545,0.12,0.896
"11",11,"hyper",0.167956615,0.742304769,0.785581349,0.950046059,0.22444671,0.82700956,7.74e-07,0.007212203,0.008475115,0.005322607,0.001766167,0.003626716,0.000855996,0.000964904,0.000265069,0.001936762,-1e-07,0.001856358,-9.45e-08,0.030491157,0.055506963,0.042795412,0.070310698,0.04655718,0.113380075,0.261950269,0.374860056,0,0.001322422,0.001322422,0.001322422,0.135,0.0931818181818182,0.09,0.0827272727272727,0.0736363636363636,0.119545454545455,0.91
